t = 2016-06-25 17:30:18.056201, accel = (0.0234375, 0.05859375, 0.828125), gyro = (42, 40, 10), mag = (23.0, 87.4, -537.28), heading = -46, pitch = -5, roll = -5
t = 2016-06-25 17:30:18.073765, accel = (0.01953125, 0.0625, 0.8359375), gyro = (41, 41, 10), mag = (23.0, 87.4, -537.28), heading = -46, pitch = -5, roll = -5
t = 2016-06-25 17:30:18.090576, accel = (0.01953125, 0.0625, 0.8359375), gyro = (41, 39, 10), mag = (23.0, 87.4, -537.28), heading = -46, pitch = -5, roll = -5
t = 2016-06-25 17:30:18.107746, accel = (0.0234375, 0.0625, 0.8359375), gyro = (39, 40, 11), mag = (22.08, 84.64, -539.12), heading = -47, pitch = -5, roll = -5
t = 2016-06-25 17:30:18.126137, accel = (0.0234375, 0.0625, 0.8359375), gyro = (42, 41, 9), mag = (22.08, 84.64, -539.12), heading = -47, pitch = -5, roll = -5
t = 2016-06-25 17:30:18.143407, accel = (0.015625, 0.0625, 0.84375), gyro = (41, 40, 11), mag = (22.08, 84.64, -539.12), heading = -47, pitch = -5, roll = -5
t = 2016-06-25 17:30:18.160403, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (41, 40, 10), mag = (22.08, 84.64, -539.12), heading = -47, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.175923, accel = (0.01953125, 0.0625, 0.84375), gyro = (42, 41, 10), mag = (23.0, 85.56, -538.2), heading = -48, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.195250, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (42, 40, 8), mag = (23.0, 85.56, -538.2), heading = -48, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.212957, accel = (0.01953125, 0.0625, 0.83984375), gyro = (39, 40, 9), mag = (23.0, 85.56, -538.2), heading = -48, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.230263, accel = (0.01953125, 0.0625, 0.828125), gyro = (41, 41, 9), mag = (23.0, 85.56, -538.2), heading = -49, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.246985, accel = (0.0234375, 0.0625, 0.8359375), gyro = (41, 38, 10), mag = (25.76, 85.56, -537.28), heading = -49, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.264758, accel = (0.01953125, 0.0625, 0.8359375), gyro = (41, 42, 9), mag = (25.76, 85.56, -537.28), heading = -49, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.281800, accel = (0.01953125, 0.06640625, 0.83984375), gyro = (41, 39, 9), mag = (25.76, 85.56, -537.28), heading = -50, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.298961, accel = (0.01953125, 0.05859375, 0.83984375), gyro = (41, 39, 9), mag = (25.76, 85.56, -537.28), heading = -50, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.316926, accel = (0.0234375, 0.05859375, 0.8359375), gyro = (42, 40, 8), mag = (23.0, 83.72, -539.12), heading = -50, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.334360, accel = (0.01171875, 0.0625, 0.8359375), gyro = (40, 40, 9), mag = (23.0, 83.72, -539.12), heading = -50, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.351108, accel = (0.01953125, 0.0625, 0.83984375), gyro = (41, 40, 9), mag = (23.0, 83.72, -539.12), heading = -51, pitch = -4, roll = -5
heading = -51°, pitch = -4°, roll = -5°, t = 19ms, f = 53Hz
t = 2016-06-25 17:30:18.375550, accel = (0.015625, 0.05859375, 0.8359375), gyro = (41, 41, 11), mag = (23.92, 86.48, -537.28), heading = -51, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.393597, accel = (0.01953125, 0.0625, 0.83984375), gyro = (41, 40, 9), mag = (23.92, 86.48, -537.28), heading = -51, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.409967, accel = (0.015625, 0.06640625, 0.83984375), gyro = (41, 41, 10), mag = (23.92, 86.48, -537.28), heading = -52, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.428555, accel = (0.01953125, 0.06640625, 0.8359375), gyro = (41, 41, 9), mag = (23.92, 86.48, -537.28), heading = -52, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.445862, accel = (0.0234375, 0.05859375, 0.83203125), gyro = (41, 39, 11), mag = (24.84, 87.4, -537.28), heading = -52, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.462801, accel = (0.015625, 0.0625, 0.8359375), gyro = (41, 40, 9), mag = (24.84, 87.4, -537.28), heading = -53, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.480169, accel = (0.01953125, 0.05859375, 0.83984375), gyro = (41, 41, 10), mag = (24.84, 87.4, -537.28), heading = -53, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.497532, accel = (0.015625, 0.06640625, 0.83984375), gyro = (41, 40, 9), mag = (24.84, 87.4, -537.28), heading = -53, pitch = -4, roll = -5
t = 2016-06-25 17:30:18.515697, accel = (0.015625, 0.0625, 0.8359375), gyro = (40, 39, 8), mag = (22.08, 88.32, -540.04), heading = -53, pitch = -4, roll = -5
